"filename", "language", "PHP", "HTML", "CSS", "Markdown", "XML", "JSON", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\404.html", "HTML", 0, 325, 0, 0, 0, 0, 0, 0, 7, 66, 398
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\README.md", "Markdown", 0, 0, 0, 158, 0, 0, 0, 0, 0, 64, 222
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\SECURITY.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 15, 29
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\composer.json", "JSON", 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\get_oauth_token.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 46, 15, 145
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-am.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ar.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 5, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 1, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ca.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ch.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 12, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-cs.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-da.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 7, 2, 29
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-de.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-el.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 5, 2, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-eo.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-es.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-et.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-fa.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-fi.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 12, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-fo.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 12, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-fr.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 8, 2, 30
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-gl.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-he.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-hi.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-hr.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-hu.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-id.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-it.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ja.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 13, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ka.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ko.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-lt.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-lv.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-mg.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 1, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ms.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-nb.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-nl.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 5, 2, 29
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-pl.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 4, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-pt.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-pt_br.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 8, 2, 30
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ro.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-ru.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-sk.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-sl.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-sr.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-sv.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-tl.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-tr.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 9, 2, 31
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-uk.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-vi.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-zh.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 7, 2, 29
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\language\phpmailer.lang-zh_cn.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 7, 2, 29
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\src\Exception.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 28, 3, 40
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\src\OAuth.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 79, 14, 139
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\src\PHPMailer.php", "PHP", 2663, 0, 0, 0, 0, 0, 0, 0, 1789, 369, 4821
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\src\POP3.php", "PHP", 168, 0, 0, 0, 0, 0, 0, 0, 209, 45, 422
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\PHPMailer\src\SMTP.php", "PHP", 672, 0, 0, 0, 0, 0, 0, 0, 576, 124, 1372
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\404.css", "CSS", 0, 0, 255, 0, 0, 0, 0, 0, 4, 40, 299
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\font.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 11, 2, 16
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\index.html", "HTML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\login.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\new2.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\parallax-login.css", "CSS", 0, 0, 72, 0, 0, 0, 0, 0, 3, 10, 85
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\parallax.css", "CSS", 0, 0, 73, 0, 0, 0, 0, 0, 2, 10, 85
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\select-box.css", "CSS", 0, 0, 17, 0, 0, 0, 0, 0, 3, 1, 21
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\select-box.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 3, 1, 19
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\verify-email.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\db-con.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 3, 4, 12
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\download-loading.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\favicon_io\site.webmanifest", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\approved.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\decline.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\details.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\lists.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\refresh.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\reset.svg", "XML", 0, 0, 0, 0, 97, 0, 0, 0, 1, 2, 100
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\image\user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\index.html", "HTML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\loader-ring.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\index.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\js\index.html", "HTML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\js\show-pwd.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\README.md", "Markdown", 0, 0, 0, 158, 0, 0, 0, 0, 0, 64, 222
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\SECURITY.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 15, 29
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\composer.json", "JSON", 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\get_oauth_token.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 46, 15, 145
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-am.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-ar.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 5, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 1, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
